"rep","p","THCM_RMSE_adaptive","THCM_RMSE_fixed","THCM_R2_adaptive","THCM_R2_fixed","ICM_RMSE_adaptive","ICM_RMSE_fixed","ICM_R2_adaptive","ICM_R2_fixed","sel_adaptive","sel_fixed","jaccard"
35,15000,0.200297970420371,0.193818922664138,0.696102442141263,0.715444841429431,0.426727188447996,0.41060749071983,0.502231947917652,0.539128209330392,812,1030,0.183804627249357
36,15000,0.160337233550098,0.163632464416064,0.72135242003211,0.709781264224439,0.581070870165819,0.563530598047301,0.380323486417393,0.417170089245939,966,955,0.177083333333333
37,15000,0.16000530899555,0.150768266164833,0.847240757650568,0.864369116431777,0.352098860649253,0.346439258959557,0.629953719883091,0.641754284347282,716,920,0.157001414427157
38,15000,0.130849217441513,0.143603949288612,0.774719148863681,0.728659396604124,0.435695584680215,0.452788296867201,0.517044268480461,0.47840743375875,818,891,0.184338184338184
39,15000,0.120049068330901,0.132540893375097,0.878413196950644,0.851793026519855,0.324976505450806,0.320210284689159,0.64500581840353,0.655342399763455,721,838,0.15910780669145
40,15000,0.174017064000456,0.196170767598877,0.685963841388196,0.600915771477363,0.529667727928091,0.538852883477948,0.437676433715963,0.418004426332073,756,1120,0.132166566083283
41,15000,0.171732677781607,0.167609494488253,0.813626454440674,0.822468420851795,0.458003169721827,0.461269700101428,0.553548112780413,0.547157112441949,1112,830,0.156640857653365
42,15000,0.155869065452054,0.153539252046022,0.839293883795965,0.844062206800766,0.406694685571186,0.412590358911642,0.529036981817278,0.515283322859385,854,891,0.191126279863481
43,15000,0.144288405035851,0.168430902796191,0.69529928838877,0.584803048647015,0.423239258059285,0.394258793248872,0.500800444972925,0.566823311096156,704,743,0.146592709984152
44,15000,0.189517890258923,0.182461756899325,0.744509728660652,0.763180398522714,0.529627280710401,0.498536952226734,0.356975368655665,0.430253555887426,802,1073,0.183712121212121
45,15000,0.151825255508801,0.17138517834439,0.853471307650055,0.813284163758801,0.391492439360411,0.390967042385853,0.538345810125076,0.5395840918067,815,895,0.184210526315789
46,15000,0.128462005150556,0.137489341100073,0.844624175148857,0.822019625864026,0.501439631955984,0.478877392224085,0.38604907772467,0.440055461488707,829,937,0.162606978275181
47,15000,0.131268205602437,0.1298340550606,0.799177064005904,0.803541213191427,0.327801554523348,0.327337995550776,0.668036828927826,0.668975053270445,864,995,0.193196405648267
48,15000,0.181862125642834,0.194686547060418,0.722445627611993,0.681920681193916,0.351021114863294,0.348761157745568,0.608363089386118,0.613389758156265,860,932,0.168949771689498
49,15000,0.175666925666806,0.174790205612635,0.655315761294233,0.658747682164517,0.308490843808435,0.295241154562871,0.5572072698251,0.5944263651073,759,1025,0.146529562982005
50,15000,0.142242030505592,0.141767212959504,0.613991298609111,0.616564065525007,0.264842096797941,0.274174284100876,0.634599702366528,0.60839493720285,987,995,0.210751374465486
51,15000,0.18201065476125,0.185236033060102,0.744377834168427,0.735237892302953,0.306660397435604,0.317121523099489,0.710383395358364,0.690286948843012,769,881,0.18364418938307
52,15000,0.176662615108164,0.194077692048143,0.775392052636919,0.728926510141326,0.650723654121495,0.637982828949532,0.323775241860576,0.349996253862239,834,901,0.202356202356202
